BLE1,BLE2,BLE3,BLE4,BLE5,PRED
-60.0,-61.0,-58.0,-77.0,-68.0,1.0
-60.0,-61.0,-54.0,-77.0,-68.0,1.0
-54.0,-56.0,-54.0,-57.0,-72.0,1.0
-54.0,-56.0,-58.0,-57.0,-72.0,1.0
-60.0,-61.0,-58.0,-71.0,-73.0,1.0
-60.0,-61.0,-58.0,-70.0,-72.0,1.0
-53.0,-57.0,-58.0,-57.0,-68.0,1.0
-53.0,-57.0,-58.0,-57.0,-77.0,1.0
-60.0,-61.0,-62.0,-76.0,-68.0,1.0
-60.0,-61.0,-62.0,-76.0,-68.0,1.0
-53.0,-54.0,-54.0,-57.0,-73.0,1.0
-53.0,-54.0,-54.0,-57.0,-73.0,1.0
-60.0,-61.0,-58.0,-77.0,-68.0,1.0
-54.0,-61.0,-58.0,-77.0,-76.0,1.0
-53.0,-54.0,-54.0,-58.0,-76.0,1.0
-54.0,-58.0,-54.0,-58.0,-73.0,1.0
-54.0,-57.0,-58.0,-70.0,-73.0,1.0
-60.0,-61.0,-58.0,-70.0,-68.0,1.0
-59.0,-61.0,-56.0,-57.0,-68.0,1.0
-54.0,-54.0,-54.0,-57.0,-75.0,1.0
-54.0,-62.0,-63.0,-71.0,-75.0,1.0
-60.0,-61.0,-62.0,-70.0,-68.0,1.0
-60.0,-54.0,-54.0,-57.0,-68.0,1.0
-54.0,-54.0,-54.0,-57.0,-76.0,1.0
-54.0,-61.0,-63.0,-72.0,-75.0,1.0
-54.0,-61.0,-62.0,-71.0,-73.0,1.0
-54.0,-54.0,-58.0,-69.0,-73.0,1.0
-54.0,-61.0,-58.0,-69.0,-68.0,1.0
-54.0,-58.0,-62.0,-72.0,-77.0,1.0
-54.0,-58.0,-58.0,-72.0,-76.0,1.0
-54.0,-61.0,-58.0,-68.0,-72.0,1.0
-54.0,-61.0,-63.0,-68.0,-73.0,1.0
-54.0,-56.0,-58.0,-69.0,-68.0,1.0
-54.0,-54.0,-58.0,-69.0,-68.0,1.0
-54.0,-58.0,-54.0,-60.0,-76.0,1.0
-54.0,-55.0,-54.0,-60.0,-75.0,1.0
-54.0,-54.0,-62.0,-72.0,-72.0,1.0
-54.0,-58.0,-62.0,-72.0,-68.0,1.0
-54.0,-58.0,-54.0,-65.0,-73.0,1.0
-59.0,-61.0,-54.0,-65.0,-75.0,1.0
-59.0,-59.0,-62.0,-81.0,-75.0,1.0
-54.0,-59.0,-62.0,-80.0,-73.0,1.0
-54.0,-59.0,-54.0,-67.0,-67.0,1.0
-54.0,-59.0,-54.0,-67.0,-73.0,1.0
