Be07,Be08,Be09,Be10,Be11,Sector
-105.0,-104.0,-100.0,-97.0,-98.0,6
-95.0,-89.0,-89.0,-90.0,-94.0,6
-96.0,-96.0,-91.0,-94.0,-95.0,6
-95.0,-93.0,-86.0,-89.0,-94.0,6
-96.0,-93.0,-86.0,-88.0,-86.0,6
-93.0,-93.0,-93.0,-93.0,-94.0,6
-93.0,-93.0,-94.0,-98.0,-98.0,6
-96.0,-98.0,-98.0,-97.0,-98.0,6
-97.0,-96.0,-98.0,-96.0,-92.0,6
-87.0,-86.0,-88.0,-90.0,-87.0,6
-88.0,-88.0,-91.0,-94.0,-94.0,6
-94.0,-92.0,-90.0,-91.0,-91.0,6
-92.0,-92.0,-91.0,-91.0,-92.0,6
-98.0,-97.0,-100.0,-98.0,-96.0,6
-96.0,-96.0,-96.0,-96.0,-91.0,6
-91.0,-91.0,-91.0,-89.0,-91.0,6
-90.0,-91.0,-91.0,-88.0,-90.0,6
-91.0,-90.0,-91.0,-94.0,-101.0,6
-100.0,-101.0,-100.0,-103.0,-102.0,6
-100.0,-101.0,-98.0,-102.0,-100.0,6
-100.0,-101.0,-103.0,-95.0,-94.0,6
-95.0,-94.0,-95.0,-94.0,-94.0,6
-94.0,-88.0,-98.0,-98.0,-101.0,6
-102.0,-102.0,-100.0,-98.0,-97.0,6
-98.0,-99.0,-97.0,-96.0,-96.0,6
-96.0,-97.0,-98.0,-96.0,-97.0,6
-96.0,-97.0,-98.0,-98.0,-99.0,6
-98.0,-89.0,-89.0,-88.0,-86.0,6
-87.0,-88.0,-87.0,-89.0,-88.0,6
-89.0,-89.0,-88.0,-96.0,-105.0,6
-95.0,-96.0,-95.0,-100.0,-98.0,6
-99.0,-98.0,-98.0,-99.0,-99.0,6
-100.0,-98.0,-98.0,-95.0,-89.0,6
-90.0,-87.0,-89.0,-90.0,-89.0,6
-88.0,-87.0,-88.0,-89.0,-88.0,6
-91.0,-96.0,-96.0,-97.0,-98.0,6
-97.0,-95.0,-95.0,-98.0,-98.0,6
-99.0,-96.0,-101.0,-97.0,-99.0,6
-99.0,-98.0,-98.0,-99.0,-99.0,6
-99.0,-97.0,-97.0,-96.0,-97.0,6
-98.0,-97.0,-97.0,-97.0,-97.0,6
-90.0,-90.0,-90.0,-88.0,-88.0,6
-88.0,-88.0,-88.0,-88.0,-88.0,6
-89.0,-91.0,-90.0,-90.0,-97.0,6
-100.0,-99.0,-99.0,-100.0,-100.0,6
-99.0,-99.0,-98.0,-99.0,-99.0,6
-99.0,-99.0,-99.0,-98.0,-92.0,6
-90.0,-90.0,-90.0,-90.0,-88.0,6
-88.0,-89.0,-94.0,-98.0,-102.0,6
-98.0,-99.0,-100.0,-102.0,-95.0,6
-96.0,-96.0,-95.0,-96.0,-98.0,6
-98.0,-99.0,-100.0,-100.0,-100.0,6
-97.0,-96.0,-97.0,-98.0,-97.0,6
-99.0,-98.0,-88.0,-89.0,-87.0,6
-86.0,-88.0,-88.0,-88.0,-88.0,6
-88.0,-89.0,-90.0,-88.0,-99.0,6
-103.0,-100.0,-97.0,-99.0,-99.0,6
-100.0,-98.0,-99.0,-98.0,-98.0,6
-97.0,-96.0,-98.0,-97.0,-97.0,6
-88.0,-88.0,-89.0,-88.0,-89.0,6
